metric_name,display_name,service_area,owner_department,cadence,definition,default_metric_logic,default_target,has_current_detail,has_current_summary,has_history,service_area_order
BFD INCIDENTS,BFD Incidents,Public Safety,Boston Fire Department,weekday,Fire-related incidents versus the historical average. Scores above 1 indicate fewer incidents.,historical_average / current_average,,True,True,True,0
BFD RESPONSE TIME,BFD Response Time,Public Safety,Boston Fire Department,weekday,Percent of fire responses arriving within 4 minutes from station departure against a 90% goal.,sum(numerator_value)/sum(denominator_value)/target,0.9,True,True,True,0
EMS INCIDENTS,EMS Incidents,Public Safety,Emergency Medical Services,weekday,EMS incident volume versus the historical average. Scores above 1 indicate fewer incidents.,,,False,False,True,0
EMS RESPONSE TIME,EMS Response Time,Public Safety,Emergency Medical Services,weekday,Median priority-1 EMS response time against a 6-minute goal.,target / median,6.0,True,True,True,0
HOMICIDES (TREND),Homicides,Public Safety,Boston Police Department,weekday,Homicide trend versus historical average. Scores above 1 indicate fewer homicides.,historical_average / current_average,,True,True,True,0
PART 1 CRIMES,Part 1 Crimes,Public Safety,Boston Police Department,weekday,"Serious FBI index crimes excluding homicides, shootings, and stabbings. Scores above 1 indicate fewer crimes.",historical_average / current_average,,True,True,True,0
SHOOTINGS (TREND),Shootings,Public Safety,Boston Police Department,weekday,Non-fatal shootings versus the historical average. Scores above 1 indicate fewer shootings.,historical_average / current_average,,True,True,True,0
STABBINGS (TREND),Stabbings,Public Safety,Boston Police Department,weekday,Non-fatal stabbings versus the historical average. Scores above 1 indicate fewer stabbings.,historical_average / current_average,,True,True,True,0
311 CALL CENTER PERFORMANCE,311 Call Center Performance,Resident Experience,311 Constituent Services,weekday,Percent of 311 calls answered within 30 seconds against a 95% goal.,sum(numerator_value)/sum(denominator_value)/target,0.95,True,True,True,1
CITY SERVICES SATISFACTION SURVEYS,City Services Satisfaction Surveys,Resident Experience,311 Constituent Services,sparse,Average resident satisfaction score from constituent surveys with a goal of 4 out of 5.,sum(numerator_value)/sum(denominator_value)/target,4.0,True,True,True,1
GRAFFITI ON-TIME %,Graffiti Removal On-Time %,Streets And Public Works,Public Works,weekday,Percent of graffiti requests completed within the service target.,sum(numerator_value)/sum(denominator_value)/target,0.8,True,True,True,2
MISSED TRASH ON-TIME %,Missed Trash On-Time %,Streets And Public Works,Public Works,weekday,Percent of missed trash requests inspected within one business day.,sum(numerator_value)/sum(denominator_value)/target,0.8,True,True,True,2
POTHOLE ON-TIME %,Pothole Repair On-Time %,Streets And Public Works,Public Works,weekday,Percent of potholes repaired within one business day.,sum(numerator_value)/sum(denominator_value)/target,0.8,True,True,True,2
SIGN INSTALLATION ON-TIME %,Sign Installation On-Time %,Streets And Public Works,Transportation,weekday,Percent of approved sign installations completed within 30 calendar days.,sum(numerator_value)/sum(denominator_value)/target,0.8,True,True,True,2
SIGNAL REPAIR ON-TIME %,Signal Repair On-Time %,Streets And Public Works,Transportation,weekday,Percent of traffic signal outages repaired within 24 hours.,sum(numerator_value)/sum(denominator_value)/target,0.8,True,True,True,2
STREETLIGHT ON-TIME %,Streetlight On-Time %,Streets And Public Works,Public Works,weekday,Percent of streetlight repair requests completed within the service target.,sum(numerator_value)/sum(denominator_value)/target,0.8,True,True,True,2
PARKS MAINTENANCE ON-TIME %,Parks Maintenance On-Time %,Parks And Public Realm,Parks And Recreation,weekday,Percent of parks maintenance requests completed within the service target.,sum(numerator_value)/sum(denominator_value)/target,0.8,True,True,True,3
TREE MAINTENANCE ON-TIME %,Tree Maintenance On-Time %,Parks And Public Realm,Parks And Recreation,weekday,Percent of tree maintenance requests completed within the service target.,sum(numerator_value)/sum(denominator_value)/target,0.8,True,True,True,3
CODE ENFORCEMENT ON-TIME %,Code Enforcement On-Time %,Permits And Code,Inspectional Services,weekday,On-time completion score for code enforcement requests.,sum(numerator_value)/sum(denominator_value)/target,0.8,True,True,False,4
CODE ENFORCEMENT TRASH COLLECTION,Code Enforcement Trash Collection,Permits And Code,Inspectional Services,weekday,Operational score tied to code enforcement trash collection activity.,sum(numerator_value)/sum(denominator_value)/target,0.8,True,True,False,4
ON-TIME PERMIT REVIEWS,On-Time Permit Reviews,Permits And Code,Planning And Development,weekday,Percent of as-of-right permits reviewed within 20 business days.,sum(numerator_value)/sum(denominator_value)/target,1.0,True,True,True,4
BPS ATTENDANCE,BPS Attendance,Education And Civic Life,Boston Public Schools,school_day,Student attendance rate across Boston Public Schools against a 95% goal.,average(sum(numerator_value)/sum(denominator_value))/target,0.95,True,True,True,5
LIBRARY USERS,Library Users,Education And Civic Life,Boston Public Library,weekday,Active Boston Public Library users versus the historical average. Scores above 1 indicate growth.,current_average / historical_average,,True,True,True,5
